sentence,language
"Hello, do you know what time the movie is tonight?",english
I am calling to make reservations,english
I would like to know if it is at all possible to check in,english
What time does the swimming pool open?,english
Where is the games room?,english
We must call the police.,english
How many pupils are there in your school?,english
"Twenty litres of unleaded, please.",english
Is it near here?,english
Do I have to change?,english
Which counter do I go to to change money?,english
"I would like two postcards, please.",english
There was a big explosion.,english
Where is the television room?,english
Where's the nearest railway station?,english
The storms caused flooding.,english
Where is the duty free shop?,english
I witnessed it happening.,english
"I would like two postcards, please.",english
How about going to the cinema?,english
"Ciao, ti va di andare al cinema?",italian
Mi sai dire quando aprono il negozio?,italian
Quando c'è l'ultimo autobus?,italian
Lo posso provare addosso?,italian
C'è una presa elettrica per il nostro caravan?,italian
Vorrei una scatola di cioccolatini.,italian
Non e' stata colpa mia.,italian
Sono molto scarso in fisica.,italian
Vorrei del vino bianco.,italian
"Me lo puo' spiegare, per piacere.",italian
Vorrei chiamare a spese del ricevente.,italian
Ho perso il mio passaporto.,italian
Posso avere i biglietti del cinema per favore?,italian
Vorrei un pacchetto di biscotti.,italian
Quali materie studi (studia)?,italian
Quanto frequenti sono gli autobus?,italian
A che ora sara' la prossima raccolta?,italian
Vorrei prenotare un posto.,italian
"Per favore, quanto costa spedire una lettera in Germania?",italian
Mio padre e' un programmatore.,italian
我爱你,zh
我喜欢你,zh
我好爱你,zh
我真的爱你,zh
真的真的好爱你,zh
哇哈哈,zh
张啥,zh
我爱爱,zh
